Titre,Prix_Actuel,Ancien_Prix,Discount,Rating,Image_URL,Source,Date_Collecte,Prix_Actuel_Clean,Ancien_Prix_Clean,Reduction_Reelle,Rating_Clean,Marque,CPU,Generation_CPU,RAM_GB,Stockage_GB,Type_Stockage,Etat_Produit,Taux_Completude,Gamme,CPU_Marque,CPU_Serie,CPU_Modele,CPU_Generation_Detectee,RAM_Type,RAM_Frequence,Stockage_SSD_GB,Stockage_HDD_GB,Stockage_NVMe,Stockage_Total_GB,Ecran_Taille,Ecran_Resolution_Width,Ecran_Resolution_Height,Ecran_Type,Ecran_Tactile,GPU_Marque,GPU_Serie,GPU_Modele,WiFi_Version,Bluetooth_Version,USB_Type,Batterie_Capacite,Batterie_Autonomie,Sentiment_BERT,Sentiment_Score_BERT,Keywords_TFIDF,Resume_Produit,Anomalie_Prix_ZScore,Anomalie_Prix_IQR,Type_Anomalie_Prix,Anomalie_ML,Anomalie_Score_ML,Anomalie_Score_Normalized,Incoherence_Spec_Prix,Severite_Incoherence,Produit_Suspect,Raisons_Suspicion,Indice_Confiance,Recommandation_Achat,Score_Fiabilite_Vendeur
"Hp PC Portable Probook 650 Core i3 G3- 7ème Génération- 256Gb SSD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","1,999.00 Dhs","3,299.00 Dhs",39%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/108176/1.jpg?9241,Jumia,2026-01-28 17:12:02,1999.0,3299.0,39.41,5.0,Hp,i3,3.0,8.0,256.0,SSD,Remis à neuf,100.0,Entrée de gamme,,,,7.0,,,256.0,,False,256.0,15.6,,,,False,,,,,,,,,Négatif,0.2,"7ème, ram ecran, 15 garantie, probook 650, 650","Hp | Processeur i3 | 8GB RAM | 256GB SSD | Écran 15.6"" | Remis à neuf | 1999 Dhs",False,False,Normal,False,-0.38375354842955894,0.9347930405300084,Cohérent,0,False,OK,100.0,À considérer,5.0
Pc Portable HP EliteBook 840 G8 Tactile I5-1145g7 11éme Génération RAM 16Go DDR4 256Gb SSD QWERTY - REMIS A NEUF,"3,890.00 Dhs","4,990.00 Dhs",22%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/250476/1.jpg?3449,Jumia,2026-01-28 17:12:02,3890.0,4990.0,22.04,,Hp,i5,840.0,,256.0,SSD,Remis à neuf,66.7,Milieu de gamme,,,,,DDR4,,256.0,,False,256.0,,,,,True,,,,,,,,,Positif,1.0,"ssd qwerty, qwerty, elitebook 840, génération ram, 840",Hp | Processeur i5 | 256GB SSD | Remis à neuf | 3890 Dhs,False,False,Normal,False,-0.4252043882299624,0.8281652056557531,Cohérent,0,False,OK,90.0,À considérer,5.0
Lenovo PC portable Thinkpad-L440 Core i5 RAM 8GB 500 HDD 6ème Génération Remis à Neuf,"1,789.00 Dhs","3,299.00 Dhs",46%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/426956/1.jpg?3307,Jumia,2026-01-28 17:12:02,1789.0,3299.0,45.77,,Lenovo,i5,8.0,,8.0,Inconnu,Remis à neuf,66.7,Entrée de gamme,,,,6.0,,,,,False,,,,,,False,,,,,,,,,Positif,1.0,"6ème génération, ram 8gb, 6ème, hdd, portable thinkpad",Lenovo | Processeur i5 | Remis à neuf | 1789 Dhs,False,False,Normal,False,-0.39691122077055513,0.9009463411516369,Cohérent,0,False,OK,90.0,À considérer,5.0
"Hp PC Portable Probook 650 Core i5 G2- 5ème Génération- 256Gb SSD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","2,099.00 Dhs","3,499.00 Dhs",40%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/697376/1.jpg?7101,Jumia,2026-01-28 17:12:02,2099.0,3499.0,40.01,,Hp,i5,5.0,8.0,256.0,SSD,Remis à neuf,83.3,Entrée de gamme,,,,5.0,,,256.0,,False,256.0,15.6,,,,False,,,,,,,,,Négatif,0.2,"ram ecran, probook 650, 15 garantie, 650, 650 core","Hp | Processeur i5 | 8GB RAM | 256GB SSD | Écran 15.6"" | Remis à neuf | 2099 Dhs",False,False,Normal,False,-0.3618787027887524,0.9910637322727857,Cohérent,0,False,OK,95.0,À considérer,5.0
"DELL Pc Portable Latitude 7420 Intel Core I5-1145g7 11éme Génération RAM 16Go DDR4 256Gb SSD Ecran IPS 14""QWERTY - REMIS A NEUF","3,690.00 Dhs","3,990.00 Dhs",8%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/566376/1.jpg?3857,Jumia,2026-01-28 17:12:02,3690.0,3990.0,7.52,,Dell,i5,1145.0,,256.0,SSD,Remis à neuf,66.7,Milieu de gamme,Intel,i5,1145g,,DDR4,,256.0,,False,256.0,14.0,,,IPS,False,,,,,,,,,Positif,0.8,"dell pc, qwerty, génération ram, dell, 16go ddr4","Dell | Processeur i5 | 256GB SSD | Écran 14.0"" | Remis à neuf | 3690 Dhs",False,False,Normal,False,-0.5249986638480724,0.5714551463845253,Cohérent,0,False,OK,90.0,À considérer,5.0
"Hp PC Portable Probook 650 Core i5 G2- 5ème Génération- 256Gb SSD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","2,099.00 Dhs","3,299.00 Dhs",36%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/697376/1.jpg?0061,Jumia,2026-01-28 17:12:02,2099.0,3299.0,36.37,,Hp,i5,5.0,8.0,256.0,SSD,Remis à neuf,83.3,Entrée de gamme,,,,5.0,,,256.0,,False,256.0,15.6,,,,False,,,,,,,,,Négatif,0.2,"ram ecran, probook 650, 15 garantie, 650, 650 core","Hp | Processeur i5 | 8GB RAM | 256GB SSD | Écran 15.6"" | Remis à neuf | 2099 Dhs",False,False,Normal,False,-0.35985448282707505,0.9962708207868476,Cohérent,0,False,OK,95.0,À considérer,5.0
Acer Pc Portable Aspire Go 15 - i5-13420 / 16Go / 512Go Windows 11 (NX.J4GEF.00A),"6,490.00 Dhs","7,200.00 Dhs",10%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/180376/1.jpg?1263,Jumia,2026-01-28 17:12:02,6490.0,7200.0,9.86,,Acer,i5,16.0,,16.0,Inconnu,Non spécifié,66.7,Haut de gamme,,,,,,,,,False,,,,,,False,,,,,,,,,Positif,1.0,"windows, 16go, 15, i5, pc portable",Acer | Processeur i5 | 6490 Dhs,False,False,Normal,False,-0.4191633063575043,0.8437052401510747,Cohérent,0,False,OK,90.0,À considérer,5.0
XIAOMI Monitor A22I (Black),699.00 Dhs,899.00 Dhs,22%,4.6 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/034646/1.jpg?2339,Jumia,2026-01-28 17:12:03,699.0,899.0,22.25,4.6,Xiaomi,Autre,,,,,Non spécifié,66.7,Entrée de gamme,,,,,,,,,False,,,,,,False,,,,,,,,,Positif,1.0,,Xiaomi | Processeur Autre | 699 Dhs,False,False,Normal,False,-0.3666294978448146,0.9788428220765513,Cohérent,0,False,OK,90.0,À considérer,5.0
Asus ORDINATEUR PORTABLE,"4,500.00 Dhs","4,900.00 Dhs",8%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/118756/1.jpg?6117,Jumia,2026-01-28 17:12:03,4500.0,4900.0,8.16,,Asus,Autre,,,,,Non spécifié,50.0,Milieu de gamme,,,,,,,,,False,,,,,,False,,,,,,,,,Positif,1.0,"ordinateur portable, ordinateur, portable",Asus | Processeur Autre | 4500 Dhs,False,False,Normal,False,-0.37748911227782667,0.9509076299275608,Cohérent,0,False,OK,85.0,À considérer,5.0
Hp Pc Portable ProBook x360 435 G8 Ryzen 7 Pro 5850U RAM 16Go DDR4 512Gb SSD QWERTY Tactile - Remis a neuf,"4,280.00 Dhs","7,000.00 Dhs",39%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/748376/1.jpg?9594,Jumia,2026-01-28 17:12:03,4280.0,7000.0,38.86,,Hp,Ryzen 7,435.0,,512.0,SSD,Remis à neuf,66.7,Haut de gamme,,,,,DDR4,,512.0,,False,512.0,,,,,True,,,,,,,,,Neutre,0.6,"ssd qwerty, qwerty, ram 16go, 16go ddr4, 512gb",Hp | Processeur Ryzen 7 | 512GB SSD | Remis à neuf | 4280 Dhs,False,False,Normal,False,-0.4353217144198511,0.802139470313862,Cohérent,0,False,OK,90.0,À considérer,5.0
