Titre,Prix_Actuel,Ancien_Prix,Discount,Rating,Image_URL,Source,Date_Collecte,Prix_Actuel_Clean,Ancien_Prix_Clean,Reduction_Reelle,Rating_Clean,Marque,CPU,Generation_CPU,RAM_GB,Stockage_GB,Type_Stockage,Etat_Produit,Taux_Completude,Gamme
"Hp PC Portable Probook 650 Core i3 G3- 7ème Génération- 256Gb SSD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","1,999.00 Dhs","3,299.00 Dhs",39%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/108176/1.jpg?9241,Jumia,2026-01-28 00:59:46,1999.0,3299.0,39.41,5.0,Hp,i3,3.0,8.0,256.0,SSD,Remis à neuf,100.0,Entrée de gamme
Pc Portable HP EliteBook 840 G8 Tactile I5-1145g7 11éme Génération RAM 16Go DDR4 256Gb SSD QWERTY - REMIS A NEUF,"3,890.00 Dhs","4,990.00 Dhs",22%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/250476/1.jpg?3449,Jumia,2026-01-28 00:59:46,3890.0,4990.0,22.04,,Hp,i5,840.0,,256.0,SSD,Remis à neuf,66.7,Milieu de gamme
Lenovo PC portable Thinkpad-L440 Core i5 RAM 8GB 500 HDD 6ème Génération Remis à Neuf,"1,789.00 Dhs","3,299.00 Dhs",46%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/426956/1.jpg?3307,Jumia,2026-01-28 00:59:47,1789.0,3299.0,45.77,,Lenovo,i5,8.0,,8.0,Inconnu,Remis à neuf,66.7,Entrée de gamme
"Hp PC Portable Probook 650 Core i5 G2- 5ème Génération- 256Gb SSD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","2,099.00 Dhs","3,499.00 Dhs",40%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/697376/1.jpg?7101,Jumia,2026-01-28 00:59:47,2099.0,3499.0,40.01,,Hp,i5,5.0,8.0,256.0,SSD,Remis à neuf,83.3,Entrée de gamme
"DELL Pc Portable Latitude 7420 Intel Core I5-1145g7 11éme Génération RAM 16Go DDR4 256Gb SSD Ecran IPS 14""QWERTY - REMIS A NEUF","3,690.00 Dhs","3,990.00 Dhs",8%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/566376/1.jpg?3857,Jumia,2026-01-28 00:59:47,3690.0,3990.0,7.52,,Dell,i5,1145.0,,256.0,SSD,Remis à neuf,66.7,Milieu de gamme
"Hp PC Portable Probook 650 Core i5 G2- 5ème Génération- 256Gb SSD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","2,099.00 Dhs","3,299.00 Dhs",36%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/697376/1.jpg?0061,Jumia,2026-01-28 00:59:47,2099.0,3299.0,36.37,,Hp,i5,5.0,8.0,256.0,SSD,Remis à neuf,83.3,Entrée de gamme
Acer Pc Portable Aspire Go 15 - i5-13420 / 16Go / 512Go Windows 11 (NX.J4GEF.00A),"6,490.00 Dhs","7,200.00 Dhs",10%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/180376/1.jpg?1263,Jumia,2026-01-28 00:59:47,6490.0,7200.0,9.86,,Acer,i5,16.0,,16.0,Inconnu,Non spécifié,66.7,Haut de gamme
XIAOMI Monitor A22I (Black),699.00 Dhs,899.00 Dhs,22%,4.6 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/034646/1.jpg?2339,Jumia,2026-01-28 00:59:47,699.0,899.0,22.25,4.6,Xiaomi,Autre,,,,,Non spécifié,66.7,Entrée de gamme
Asus ORDINATEUR PORTABLE,"4,500.00 Dhs","4,900.00 Dhs",8%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/118756/1.jpg?6117,Jumia,2026-01-28 00:59:47,4500.0,4900.0,8.16,,Asus,Autre,,,,,Non spécifié,50.0,Milieu de gamme
Asus ORDINATEUR PORTABLE,"3,490.00 Dhs","3,900.00 Dhs",11%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/018756/1.jpg?5245,Jumia,2026-01-28 00:59:47,3490.0,3900.0,10.51,,Asus,Autre,,,,,Non spécifié,50.0,Milieu de gamme
Hp Ordinateur portable 15 N100 4GB 256SSD W11H GRAY,"3,990.00 Dhs","4,800.00 Dhs",17%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/442756/1.jpg?1445,Jumia,2026-01-28 00:59:47,3990.0,4800.0,16.88,,Hp,Autre,4.0,,4.0,Inconnu,Non spécifié,66.7,Milieu de gamme
Hp Pc Portable ProBook x360 435 G8 Ryzen 7 Pro 5850U RAM 16Go DDR4 512Gb SSD QWERTY Tactile - Remis a neuf,"4,280.00 Dhs","7,000.00 Dhs",39%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/748376/1.jpg?9594,Jumia,2026-01-28 00:59:47,4280.0,7000.0,38.86,,Hp,Ryzen 7,435.0,,512.0,SSD,Remis à neuf,66.7,Haut de gamme
"Pc Portable HP EliteBook 830 G7 I5-10310U 10ème Génération RAM 16Go DDR4 256Gb SSD Ecran 13.3""Tactile -QWERTZ Germany - REMIS A NEUF","3,590.00 Dhs","4,990.00 Dhs",28%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/776966/1.jpg?5506,Jumia,2026-01-28 00:59:47,3590.0,4990.0,28.06,,Hp,i5,830.0,,256.0,SSD,Remis à neuf,66.7,Milieu de gamme
